Text, Old Key, Present key
Adjacent Summon items gain {DYNAMIC_POWERUP@0@0}.,Item_Description_U_DarkLegionBanner,Item_Description_U_PerpeptualCog
Adjacent weapons gain: {DYNAMIC_POWERUP@0@0},Item_Description_U_Fang_1,Item_Description_U_HorseShoe_1
{DYNAMIC_POWERUP@0@0},Item_Description_U_TaxDemon,Item_Description_Summon_GalvanizingCoil
Damage,Item_Stat_Damage,PowerUpStat_Damage
Pierce,Item_Stat_Pierce,PowerUpStat_Pierce
Summon Quantity Bonus,Item_Stat_SummonQuantityBonus,UI_TypeUISelectFavour_PowerUpWeapon_SummonQuantityModifier
Crit Chance,PowerUpStat_CritChance,STAT_CritChance_PowerUp
Dash,PowerUpStat_Dash,UIControllerButton_Type_Dash
Enemy Amount,PowerUpStat_EnemyAmount,UI_Difficulty_Data_EnemyAmount
Enemy Speed,PowerUpStat_EnemySpeed,UI_Difficulty_Data_EnemySpeed
Experience Gain,PowerUpStat_ExperienceGain,UI_Difficulty_Data_ExperienceGain
Health Gain Per Floor,PowerUpStat_HealthGainPerFloor,UI_Upgrade_Character_HealthGainPerFloor_Name
Item Price,PowerUpStat_ItemPrice,UI_TypeUISelectFavour_Price
Difficulty,Statistics_Name_Difficulty,UI_Starting_Selection_Difficulty
Lock,UIControllerButton_Type_Lock,UI_InventoryShop_LockTag
The Armory,UI_Armory_Room,UI_Armory_Room_List_Item_Lock
Start,UI_Button_Start,UI_Start_Game_Screen_Start
Health,UI_HUD_UIDisplayStats_HealthBar,UI_Upgrade_Character_MaxHealth_Name
Back,UI_Quest_Button_Back,UI_Settings_Button_Back
Have {0} summoned units active at the same time.,COND_DLC_EVERYBODYFRIENDS_DESCRIPTION,COND_DLC_FULLPARTY_DESCRIPTION
{0} Summon Power,COND_DLC_INDUSTRIALREVOLUTION_CHILD_1_DESCRIPTION,COND_DLC_SINISTERSPELLS_CHILD_1_DESCRIPTION
Galvanizing Coil,Weapon_Summon_GalvanizingCoil_Name,AllySummonUnit_GalvanizingCoil_Name
